t,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,yaw,yaw_dot,yaw_ddot,thrust,tx,ty,tz,ox,oy,oz,odx,ody,odz
0.087000,0.000054,0.000021,1.000005,0.003014,0.001175,0.000301,0.131315,0.051334,0.013131,4.121991,1.619732,0.412199,0.000012,0.000679,0.029628,0.265252,-0.000478,0.001209,0.000207,-1.617240,4.116189,0.022186,-28.942631,72.927956,7.067667
0.088000,0.000057,0.000022,1.000006,0.003148,0.001227,0.000315,0.135475,0.052969,0.013548,4.199064,1.650421,0.419907,0.000013,0.000709,0.030570,0.265265,-0.000479,0.001211,0.000215,-1.647791,4.192957,0.023314,-29.007820,73.071815,7.333766
0.089000,0.000061,0.000024,1.000006,0.003285,0.001281,0.000329,0.139713,0.054635,0.013971,4.276441,1.681246,0.427644,0.000014,0.000740,0.031531,0.265278,-0.000480,0.001214,0.000223,-1.678472,4.270017,0.024484,-29.066574,73.199890,7.605808
0.090000,0.000064,0.000025,1.000006,0.003427,0.001337,0.000343,0.144028,0.056332,0.014403,4.354112,1.712204,0.435411,0.000014,0.000772,0.032509,0.265292,-0.000481,0.001215,0.000231,-1.709280,4.347358,0.025695,-29.118843,73.312187,7.883812
0.091000,0.000067,0.000026,1.000007,0.003573,0.001394,0.000357,0.148421,0.058059,0.014842,4.432067,1.743291,0.443207,0.000015,0.000805,0.033505,0.265306,-0.000482,0.001217,0.000239,-1.740210,4.424970,0.026950,-29.164600,73.408623,8.167785
0.092000,0.000071,0.000028,1.000007,0.003724,0.001453,0.000372,0.152892,0.059818,0.015289,4.510293,1.774502,0.451030,0.000016,0.000839,0.034518,0.265320,-0.000482,0.001218,0.000247,-1.771257,4.502842,0.028248,-29.203831,73.489273,8.457738
0.093000,0.000075,0.000029,1.000008,0.003879,0.001513,0.000388,0.157442,0.061608,0.015744,4.588781,1.805833,0.458878,0.000017,0.000874,0.035550,0.265334,-0.000483,0.001220,0.000256,-1.802418,4.580961,0.029592,-29.236490,73.554054,8.753673
0.094000,0.000079,0.000031,1.000008,0.004039,0.001576,0.000404,0.162070,0.063430,0.016207,4.667521,1.837281,0.466752,0.000018,0.000910,0.036600,0.265349,-0.000483,0.001220,0.000265,-1.833690,4.659319,0.030981,-29.262554,73.602982,9.055602
0.095000,0.000083,0.000032,1.000008,0.004203,0.001640,0.000420,0.166777,0.065283,0.016678,4.746501,1.868842,0.474650,0.000019,0.000947,0.037668,0.265364,-0.000483,0.001221,0.000274,-1.865066,4.737903,0.032417,-29.282005,73.636009,9.363516
0.096000,0.000087,0.000034,1.000009,0.004373,0.001706,0.000437,0.171563,0.067168,0.017156,4.825712,1.900511,0.482571,0.000020,0.000985,0.038754,0.265380,-0.000483,0.001221,0.000283,-1.896543,4.816703,0.033900,-29.294798,73.653145,9.677417
0.097000,0.000092,0.000036,1.000009,0.004547,0.001775,0.000455,0.176428,0.069084,0.017643,4.905140,1.932285,0.490514,0.000021,0.001025,0.039859,0.265396,-0.000483,0.001221,0.000293,-1.928118,4.895707,0.035432,-29.300915,73.654343,9.997300
